SGG_NM,CNTRCT_DE,RENT_GTN
용산구,2022-05-13,54412.27273
용산구,2022-05-14,49741.96296
용산구,2022-05-15,65475
용산구,2022-05-16,56042.5
용산구,2022-05-17,67926.9
용산구,2022-05-18,64671.42857
용산구,2022-05-19,90350
용산구,2022-05-20,68704.16667
용산구,2022-05-21,55498.94737
용산구,2022-05-22,48550
용산구,2022-05-23,53357
용산구,2022-05-24,68344.72727
용산구,2022-05-25,70761.53846
용산구,2022-05-26,68308.33333
용산구,2022-05-27,88460
용산구,2022-05-28,50840.71429
용산구,2022-05-29,220000
용산구,2022-05-30,92577.14286
용산구,2022-05-31,61505
용산구,2022-06-01,39015.55556
용산구,2022-06-02,66302.77778
용산구,2022-06-03,100357.1429
용산구,2022-06-04,84897.75
용산구,2022-06-05,47583.33333
용산구,2022-06-06,54075
용산구,2022-06-07,43039
용산구,2022-06-08,67722.72727
용산구,2022-06-09,79812.54545
용산구,2022-06-10,62427.27273
용산구,2022-06-11,54660.29412
용산구,2022-06-12,73447.5
용산구,2022-06-13,78769.23077
용산구,2022-06-14,69580.71429
용산구,2022-06-15,76211.11111
용산구,2022-06-16,95975
용산구,2022-06-17,138340.9091
용산구,2022-06-18,75702.91667
용산구,2022-06-19,56070
용산구,2022-06-20,96055.55556
용산구,2022-06-21,94427.14286
용산구,2022-06-22,59635.3
용산구,2022-06-23,99480.76923
용산구,2022-06-24,66395.83333
용산구,2022-06-25,54943.23529
용산구,2022-06-26,70000
용산구,2022-06-27,93464.28571
용산구,2022-06-28,84141.66667
용산구,2022-06-29,50405
용산구,2022-06-30,82012.85714
용산구,2022-07-01,81004.0625
용산구,2022-07-02,59780.88235
용산구,2022-07-03,71000
용산구,2022-07-04,66662.5
용산구,2022-07-05,120959.5833
용산구,2022-07-06,93938
용산구,2022-07-07,81321.42857
용산구,2022-07-08,67113.63636
용산구,2022-07-09,59682.69231
용산구,2022-07-10,72333.33333
용산구,2022-07-11,58920
용산구,2022-07-12,68664.54545
용산구,2022-07-13,59479
용산구,2022-07-14,62510
용산구,2022-07-15,46141.66667
용산구,2022-07-16,47471.25
용산구,2022-07-17,93343.75
용산구,2022-07-18,97816.66667
용산구,2022-07-19,85029.16667
용산구,2022-07-20,66982.66667
용산구,2022-07-21,66060
용산구,2022-07-22,77161.11111
용산구,2022-07-23,66913.15789
용산구,2022-07-24,65100
용산구,2022-07-25,64234.375
용산구,2022-07-26,48016.66667
용산구,2022-07-27,61944.44444
용산구,2022-07-28,81783.88889
용산구,2022-07-29,69103.05556
용산구,2022-07-30,61576.31579
용산구,2022-07-31,41500
용산구,2022-08-01,70087.41667
용산구,2022-08-02,63143.75
용산구,2022-08-03,72570.83333
용산구,2022-08-04,74737.5
용산구,2022-08-05,63040
용산구,2022-08-06,51100
용산구,2022-08-07,46500
용산구,2022-08-08,45811.81818
용산구,2022-08-09,124333.3333
용산구,2022-08-10,77450
용산구,2022-08-11,61933.33333
용산구,2022-08-12,72324
용산구,2022-08-13,62684.21053
용산구,2022-08-14,67700
용산구,2022-08-15,51166.66667
용산구,2022-08-16,86885.71429
용산구,2022-08-17,65253.63636
용산구,2022-08-18,59358.76923
용산구,2022-08-19,69495
용산구,2022-08-20,66517.85185
용산구,2022-08-21,54014.33333
용산구,2022-08-22,38694.28571
용산구,2022-08-23,62822.72727
용산구,2022-08-24,62911.33333
용산구,2022-08-25,62542.85714
용산구,2022-08-26,59233.33333
용산구,2022-08-27,52672.72727
용산구,2022-08-29,66835.11111
용산구,2022-08-30,76688.58824
용산구,2022-08-31,60177.77778
용산구,2022-09-01,63794
용산구,2022-09-02,91361.11111
용산구,2022-09-03,62610.15789
용산구,2022-09-04,43000
용산구,2022-09-05,56776.5
용산구,2022-09-06,58972.72727
용산구,2022-09-07,137055.5556
용산구,2022-09-08,52350
용산구,2022-09-09,105000
용산구,2022-09-11,38075
용산구,2022-09-12,43500
용산구,2022-09-13,71700
용산구,2022-09-14,51340.83333
용산구,2022-09-15,56428.125
용산구,2022-09-16,93687.5
용산구,2022-09-17,66617.5
용산구,2022-09-18,50500
용산구,2022-09-19,69979.16667
용산구,2022-09-20,65376.9
용산구,2022-09-21,91928.57143
용산구,2022-09-22,82000
용산구,2022-09-23,63670.71429
용산구,2022-09-24,67936.875
용산구,2022-09-25,61433.33333
용산구,2022-09-26,108975
용산구,2022-09-27,66411.11111
용산구,2022-09-28,60312.5
