BJDONG_NM,CNTRCT_DE,RENT_GTN
가산동,2022-12-11,14000.0
가산동,2022-12-12,10000.0
가산동,2022-12-13,14000.0
가산동,2022-12-14,19400.0
가산동,2022-12-17,25200.0
가산동,2022-12-20,9000.0
가산동,2022-12-21,14000.0
가산동,2022-12-22,24300.0
가산동,2022-12-24,29768.0
가산동,2022-12-26,15000.0
가산동,2022-12-28,24300.0
가산동,2022-12-29,16166.666666666666
가산동,2022-12-30,15500.0
가산동,2022-12-31,18450.0
가산동,2023-01-02,15750.0
가산동,2023-01-03,15500.0
가산동,2023-01-04,14000.0
가산동,2023-01-07,14000.0
가산동,2023-01-09,14500.0
가산동,2023-01-10,14700.0
가산동,2023-01-11,10700.0
가산동,2023-01-12,23100.0
가산동,2023-01-13,11800.0
가산동,2023-01-14,13000.0
가산동,2023-01-16,14050.0
가산동,2023-01-17,19500.0
가산동,2023-01-18,14000.0
가산동,2023-01-19,18500.0
가산동,2023-01-20,12500.0
가산동,2023-01-24,22000.0
가산동,2023-01-25,20895.0
가산동,2023-01-26,23000.0
가산동,2023-01-27,18775.0
가산동,2023-01-28,15700.0
가양동,2022-01-04,25916.666666666668
가양동,2022-01-05,38800.0
가양동,2022-01-06,35106.25
가양동,2022-01-07,26816.428571428572
가양동,2022-01-08,28473.076923076922
가양동,2022-01-10,29065.625
가양동,2022-01-11,38000.0
가양동,2022-01-12,19852.333333333332
가양동,2022-01-13,14940.0
가양동,2022-01-14,30460.0
가양동,2022-01-15,28997.5
가양동,2022-01-17,40533.333333333336
가양동,2022-01-18,28406.666666666668
가양동,2022-01-19,29350.0
가양동,2022-01-20,43000.0
가양동,2022-01-21,20980.0
가양동,2022-01-22,28216.666666666668
가양동,2022-01-23,67000.0
가양동,2022-01-24,24982.8
가양동,2022-01-25,50000.0
가양동,2022-01-26,17756.333333333332
가양동,2022-01-27,24705.0
가양동,2022-01-28,14500.0
가양동,2022-01-29,35225.666666666664
가양동,2022-01-30,80000.0
가양동,2022-02-03,55000.0
가양동,2022-02-04,24248.333333333332
가양동,2022-02-05,25622.5
가양동,2022-02-06,34500.0
가양동,2022-02-07,17419.714285714286
가양동,2022-02-08,26878.125
가양동,2022-02-09,16000.0
가양동,2022-02-10,26062.5
가양동,2022-02-11,17962.0
가양동,2022-02-12,27942.666666666668
가양동,2022-02-14,27567.85714285714
가양동,2022-02-15,30858.571428571428
가양동,2022-02-16,31998.75
가양동,2022-02-17,31167.333333333332
가양동,2022-02-18,24337.5
가양동,2022-02-19,33700.0
가양동,2022-02-21,34735.0
가양동,2022-02-22,40633.333333333336
가양동,2022-02-23,39220.0
가양동,2022-02-24,24600.0
가양동,2022-02-25,41700.0
가양동,2022-02-26,38390.90909090909
가양동,2022-02-28,48366.666666666664
가양동,2022-03-01,28875.0
가양동,2022-03-02,31635.714285714286
가양동,2022-03-03,25082.5
가양동,2022-03-04,25424.285714285714
가양동,2022-03-05,32371.428571428572
가양동,2022-03-07,19858.75
가양동,2022-03-08,30826.0
가양동,2022-03-09,33790.0
가양동,2022-03-10,40333.333333333336
가양동,2022-03-11,27183.333333333332
가양동,2022-03-12,26345.0
가양동,2022-03-13,27266.666666666668
가양동,2022-03-14,28405.555555555555
가양동,2022-03-15,31187.5
가양동,2022-03-16,34666.666666666664
가양동,2022-03-17,16090.5
가양동,2022-03-18,21550.0
가양동,2022-03-19,36125.0
가양동,2022-03-20,27300.0
가양동,2022-03-21,27600.0
가양동,2022-03-22,26470.0
가양동,2022-03-23,35530.0
가양동,2022-03-24,30550.0
가양동,2022-03-25,23178.571428571428
가양동,2022-03-26,31560.0
가양동,2022-03-28,30333.333333333332
가양동,2022-03-29,44500.0
가양동,2022-03-30,24375.0
가양동,2022-03-31,20200.0
가양동,2022-04-01,26387.5
가양동,2022-04-02,34975.0
가양동,2022-04-03,22000.0
가양동,2022-04-04,29139.285714285714
가양동,2022-04-05,33500.0
가양동,2022-04-06,21776.0
가양동,2022-04-07,31783.333333333332
가양동,2022-04-08,37710.0
가양동,2022-04-09,30807.30769230769
가양동,2022-04-11,24071.428571428572
가양동,2022-04-12,44100.0
가양동,2022-04-13,42897.5
가양동,2022-04-14,23658.333333333332
가양동,2022-04-15,32652.222222222223
