SGG_NM,CNTRCT_DE,RENT_GTN,RENT_FEE
구로구,2022-08-25,8000.0,72.375
구로구,2022-08-26,12861.263157894737,37.36842105263158
구로구,2022-08-27,7972.222222222223,90.0
구로구,2022-08-28,12833.333333333334,61.666666666666664
구로구,2022-08-29,16078.466666666667,60.6
구로구,2022-08-30,5209.111111111111,93.88888888888889
구로구,2022-08-31,5868.176470588235,54.76470588235294
구로구,2022-09-01,14839.565217391304,48.47826086956522
구로구,2022-09-02,6961.428571428572,63.92857142857143
구로구,2022-09-03,8612.5,68.75
구로구,2022-09-04,22500.0,80.0
구로구,2022-09-05,10750.0,75.0
구로구,2022-09-06,12100.5,51.5
구로구,2022-09-07,18427.0,57.84615384615385
구로구,2022-09-08,12235.636363636364,58.18181818181818
구로구,2022-09-12,10666.666666666666,97.66666666666667
구로구,2022-09-13,6768.064516129032,52.58064516129032
구로구,2022-09-14,8096.714285714285,46.30952380952381
구로구,2022-09-15,10339.583333333334,50.166666666666664
구로구,2022-09-16,9131.304347826086,48.130434782608695
구로구,2022-09-17,8238.444444444445,65.16666666666667
구로구,2022-09-18,6760.5,51.5
구로구,2022-09-19,10805.473684210527,61.578947368421055
구로구,2022-09-20,8224.117647058823,64.3529411764706
구로구,2022-09-21,20088.46153846154,58.30769230769231
구로구,2022-09-22,14120.857142857143,63.214285714285715
구로구,2022-09-23,13587.444444444445,56.5
구로구,2022-09-24,10212.90322580645,66.3225806451613
구로구,2022-09-25,6000.0,205.0
구로구,2022-09-26,14659.55,65.15
구로구,2022-09-27,16797.714285714286,79.35714285714286
구로구,2022-09-28,8447.384615384615,64.0
구로구,2022-09-29,10808.57142857143,70.14285714285714
구로구,2022-09-30,12692.733333333334,81.6
구로구,2022-10-01,7406.25,77.125
구로구,2022-10-03,13687.5,62.6875
구로구,2022-10-04,9896.666666666666,68.46666666666667
구로구,2022-10-05,9433.611111111111,64.77777777777777
구로구,2022-10-06,8217.64705882353,65.6470588235294
구로구,2022-10-07,17280.61111111111,54.611111111111114
구로구,2022-10-08,10166.666666666666,81.80952380952381
구로구,2022-10-09,5333.333333333333,70.0
구로구,2022-10-10,12137.5,72.75
구로구,2022-10-11,19190.909090909092,75.0909090909091
구로구,2022-10-12,8422.066666666668,62.0
구로구,2022-10-13,12365.5,61.666666666666664
구로구,2022-10-14,11189.157894736842,65.6842105263158
구로구,2022-10-15,10142.857142857143,82.85714285714286
구로구,2022-10-16,13500.0,70.0
구로구,2022-10-17,8772.5,61.5625
구로구,2022-10-18,5822.45,26.05
구로구,2022-10-19,9355.888888888889,45.111111111111114
구로구,2022-10-20,12842.166666666666,54.5
구로구,2022-10-21,12392.368421052632,47.05263157894737
구로구,2022-10-22,11780.952380952382,83.47619047619048
구로구,2022-10-23,7287.333333333333,41.833333333333336
구로구,2022-10-24,6997.666666666667,35.0
구로구,2022-10-25,12760.117647058823,61.11764705882353
구로구,2022-10-26,17428.571428571428,77.14285714285714
구로구,2022-10-27,17450.29411764706,66.23529411764706
구로구,2022-10-28,10309.09090909091,60.72727272727273
구로구,2022-10-29,9537.5,68.25
구로구,2022-10-30,17500.0,78.0
구로구,2022-10-31,9011.9,59.5
구로구,2022-11-01,11061.222222222223,55.888888888888886
구로구,2022-11-02,16330.833333333334,55.5
구로구,2022-11-03,11829.5625,56.6875
구로구,2022-11-04,15361.75,54.4375
구로구,2022-11-05,12916.666666666666,80.0
구로구,2022-11-06,7500.0,62.5
구로구,2022-11-07,7658.4,56.9
구로구,2022-11-08,8400.0,80.7
구로구,2022-11-09,11200.0,54.6
구로구,2022-11-10,9446.666666666666,70.13333333333334
구로구,2022-11-11,18584.444444444445,58.77777777777778
구로구,2022-11-12,16847.14285714286,52.357142857142854
구로구,2022-11-13,9000.0,56.5
